RUN	cddb.ptest.simulations.CreateEditAndDeleteAlbumSimulation	createeditanddeletealbumsimulation	1606915162900	 	3.3.1
USER	Create, edit and delete an album	23	END	1606915169189	1606915172263
REQUEST	24		delete album	1606915172460	1606915172479	OK	 
USER	Create, edit and delete an album	24	END	1606915169390	1606915172480
REQUEST	35		edit album	1606915172476	1606915172497	OK	 
USER	Create, edit and delete an album	40	START	1606915172538	1606915172538
REQUEST	40		create album	1606915172539	1606915172553	OK	 
REQUEST	36		edit album	1606915172559	1606915172576	OK	 
REQUEST	26		delete album	1606915172581	1606915172595	OK	 
USER	Create, edit and delete an album	26	END	1606915169515	1606915172595
REQUEST	25		delete album	1606915172581	1606915172598	OK	 
USER	Create, edit and delete an album	25	END	1606915169500	1606915172599
USER	Create, edit and delete an album	41	START	1606915172685	1606915172685
REQUEST	41		create album	1606915172686	1606915172700	OK	 
REQUEST	28		delete album	1606915172715	1606915172730	OK	 
USER	Create, edit and delete an album	28	END	1606915169655	1606915172731
REQUEST	27		delete album	1606915172715	1606915172733	OK	 
USER	Create, edit and delete an album	27	END	1606915169645	1606915172734
REQUEST	37		edit album	1606915172799	1606915172816	OK	 
USER	Create, edit and delete an album	42	START	1606915172820	1606915172820
REQUEST	42		create album	1606915172821	1606915172834	OK	 
REQUEST	38		edit album	1606915172867	1606915172884	OK	 
REQUEST	39		edit album	1606915172888	1606915172906	OK	 
REQUEST	29		delete album	1606915172899	1606915172914	OK	 
USER	Create, edit and delete an album	29	END	1606915169838	1606915172915
REQUEST	30		delete album	1606915172929	1606915172947	OK	 
USER	Create, edit and delete an album	30	END	1606915169879	1606915172947
USER	Create, edit and delete an album	43	START	1606915173085	1606915173085
REQUEST	43		create album	1606915173086	1606915173101	OK	 
USER	Create, edit and delete an album	44	START	1606915173126	1606915173126
REQUEST	44		create album	1606915173127	1606915173140	OK	 
USER	Create, edit and delete an album	45	START	1606915173268	1606915173268
REQUEST	45		create album	1606915173269	1606915173283	OK	 
USER	Create, edit and delete an album	47	START	1606915173527	1606915173527
USER	Create, edit and delete an album	46	START	1606915173527	1606915173527
REQUEST	46		create album	1606915173528	1606915173570	OK	 
USER	Create, edit and delete an album	48	START	1606915173570	1606915173570
REQUEST	47		create album	1606915173528	1606915173574	OK	 
REQUEST	48		create album	1606915173570	1606915173587	OK	 
REQUEST	40		edit album	1606915173570	1606915173589	OK	 
USER	Create, edit and delete an album	49	START	1606915173690	1606915173690
REQUEST	49		create album	1606915173691	1606915173705	OK	 
REQUEST	41		edit album	1606915173706	1606915173722	OK	 
